Temp_C,VSC,VDC,CDC,Er
30,0.88,2.27,4.023964757709251,1086.4704845814979
35,0.88,2.26,4.041769911504426,1091.277876106195
40,0.89,2.24,4.1241964285714285,1113.5330357142857
45,0.9,2.21,4.227149321266968,1141.3303167420813
50,0.94,2.08,4.690961538461539,1266.5596153846154
55,0.96,2.17,4.5920737327188945,1239.8599078341015
60,1,2.13,4.873239436619719,1315.7746478873241
65,1.05,2.08,5.2399038461538465,1414.7740384615386
70,1.12,2,5.812800000000001,1569.4560000000001
72,1.14,1.96,6.03734693877551,1630.0836734693876
74,1.18,1.92,6.3793750000000005,1722.43125
76,1.23,1.87,6.8274866310160425,1843.4213903743314
78,1.29,1.81,7.397900552486188,1997.4331491712708
80,1.38,1.7,8.426117647058824,2275.0517647058823
82,1.5,1.58,9.854430379746836,2660.6962025316457
84,1.78,1.33,13.89203007518797,3750.848120300752
86,2.28,1.15,20.579478260869568,5556.459130434783
88,2.22,1.23,18.734634146341467,5058.351219512196
90,2.15,0.94,23.74148936170213,6410.202127659574
92,2.03,1.05,20.068,5418.360000000001
94,1.94,1.06,18.997358490566036,5129.286792452829
96,1.87,1.15,16.878782608695655,4557.271304347827
98,1.79,1.22,15.229672131147542,4112.011475409836
100,1.66,1.33,12.955488721804512,3497.9819548872183
