VG2K,I1,I2,I3
5.5,0,0,0.06
6,0,0,0.44
9,0.12,0.1,14.45
12,1.65,5.88,21.71
15,7.67,12.23,24.23
18,10.65,15.49,24.31
21,9.25,12.71,18.31
24,5.61,8.58,20.92
27,15.13,18.94,31.65
30,21.51,23.63,32.84
33,14.71,14.11,18.54
36,10.12,10.03,32.76
39,33.1,31.14,48.53
42,37.3,34.83,44.5
45,16.71,15.13,22.1
48,21.1,16.47,49.8
51,53.8,45.81,67.8
54,55.9,48.23,58.1
57,22.3,19.74,33.2
60,31.3,26.16,69.1
63,72.4,62.13,86.8
66,75.5,64.32,78.1
69,39.3,33.86,51.2
72,42.4,34.73,81.9
75,87.9,75.73,109.9
78,100,85.8,105.4
