Current(A),B(G),B(Callib) (G),h(MSD),h(VSD),B(Callib)(G)^2,h(Total),Delta h,Chi_Mass,Chi_Mass (Micro),,,
1,170,162,7.1,14,26244,7.114,0.014,0.001046281817,1046.281817,,B,8
1.2,199,191,7.1,34,36481,7.134,0.034,0.001827943861,1827.943861,,h,7.1
1.4,227,219,7.15,4,47961,7.154,0.054,0.002208290486,2208.290486,,,
1.6,258,250,7.15,24,62500,7.174,0.074,0.00232221472,2322.21472,,,
1.8,289,281,7.2,0,78961,7.2,0.1,0.002483922443,2483.922443,,,
2,319,311,7.2,16,96721,7.216,0.116,0.00235227386,2352.27386,,,
2.2,350,342,7.2,36,116964,7.236,0.136,0.002280538285,2280.538285,,,
2.4,380,372,7.25,15,138384,7.265,0.165,0.002338561178,2338.561178,,,
2.6,410,402,7.3,2,161604,7.302,0.202,0.002451601817,2451.601817,,,
2.8,439,431,7.3,45,185761,7.345,0.245,0.002586796206,2586.796206,,,
3,467,459,7.35,25,210681,7.375,0.275,0.002560106274,2560.106274,,,
