Type,Fig,Theta*10,Theta,Freq(kHz)
1,/,0,0,0.902
1,O,90,9,3.928
1,\,180,18,7.764
1,O,270,27,11.386
1,/,360,36,15.181
1,O,450,45,18.771
1,\,540,54,22.639
1,O,630,63,25.91
1,/,720,72,29.025
1,O,810,81,31.879
1,\,900,90,35.175
1,O,990,99,38.035
1,/,1080,108,40.174
1,O,1170,117,42.325
1,\,1260,126,44.1
1,O,1350,135,45.828
1,/,1440,144,47.065
2,/,0,0,0.902
2,O,90,9,2.786
2,\,180,18,5.333
2,O,270,27,8.157
2,/,360,36,10.199
2,O,450,45,13.086
2,\,540,54,14.083
2,O,630,63,16.867
2,/,720,72,17.812
2,\,900,90,33.869
2,O,990,99,34.726
2,/,1080,108,35.378
